time,HipCenter,HipCenterCoordinates.x,HipCenterCoordinates.y,HipCenterCoordinates.z,Spine,SpineCoordinates.x,SpineCoordinates.y,SpineCoordinates.z,ShoulderCenter,ShoulderLeftCoordinates.x,ShoulderLeftCoordinates.y,ShoulderLeftCoordinates.zHead,HeadCoordinates.x,HeadCoordinates.y,HeadCoordinates.z,ShoulderLeft,ShoulderLeftCoordinates.x,ShoulderLeftCoordinates.y,ShoulderLeftCoordinates.z,ElbowLeft,ElbowLeftCoordinates.x,ElbowLeftCoordinates.y,ElbowLeftCoordinates.z,WristLeft,WristLeftCoordinates.x,WristLeftCoordinates.y,WristLeftCoordinates.z,HandLeft,HandLeftCoordinates.x,HandLeftCoordinates.y,HandLeftCoordinates.z,ShoulderRight,ShoulderRightCoordinates.x,ShoulderRightCoordinates.y,ShoulderRightCoordinates.z,ElbowRight,ElbowRightCoordinates.x,ShoulderRightCoordinates.y,ShoulderRightCoordinates.z,WristRight,WristRightCoordinates.x,WristRightCoordinates.y,WristRightCoordinates.z,HandRight,WristRightCoordinates.x,WristRightCoordinates.y,WristRightCoordinates.z,HipLeft,HipLeftCoordinates.x,HipLeftCoordinates.y,HipLeftCoordinates.z,KneeLeft,KneeLeftCoordinates.x,KneeLeftCoordinates.y,KneeLeftCoordinates.z,AnkleLeft,AnkleLeftCoordinates.x,AnkleLeftCoordinates.y,AnkleLeftCoordinates.z,FootLeft,FootLeftCoordinates.x,FootLeftCoordinates.y,FootLeftCoordinates.z,HipRight,HipRightCoordinates.x,HipRightCoordinates.y,HipRightCoordinates.z,KneeRight,KneeRightCoordinates.x,KneeRightCoordinates.y,KneeRightCoordinates.z,AnkleRight,AnkleRightCoordinates.x,AnkleRightCoordinates.y,AnkleRightCoordinates.z,FootRight,FootRightCoordinates.x,FootRightCoordinates.y,FootRightCoordinates.z
8.135,0,-0.024,0.843,1.509,1,-0.024,0.880,1.508,2,-0.180,0.996,1.519,3,-0.036,1.260,1.492,4,-0.180,0.996,1.519,5,-0.321,0.923,1.407,6,-0.458,0.890,1.218,7,-0.506,0.865,1.148,8,0.126,1.018,1.534,9,0.357,1.018,1.534,10,0.536,1.036,1.532,10,0.536,1.036,1.532,12,-0.104,0.769,1.513,13,-0.371,0.932,1.434,14,-0.070,0.723,1.480,15,-0.123,0.671,1.522,16,0.051,0.782,1.507,17,0.269,1.018,1.576,18,0.615,1.031,1.541,19,0.654,1.034,1.459
8.147,0,-0.029,0.846,1.519,1,-0.029,0.883,1.520,2,-0.183,0.998,1.534,3,-0.041,1.258,1.511,4,-0.183,0.998,1.534,5,-0.321,0.917,1.432,6,-0.465,0.880,1.227,7,-0.512,0.856,1.157,8,0.119,1.018,1.544,9,0.352,1.018,1.544,10,0.531,1.037,1.530,10,0.531,1.037,1.530,12,-0.110,0.771,1.522,13,-0.382,0.939,1.456,14,-0.057,0.719,1.480,15,-0.122,0.665,1.537,16,0.046,0.786,1.514,17,0.249,1.023,1.572,18,0.615,1.026,1.535,19,0.647,1.031,1.445
8.157,0,-0.029,0.846,1.519,1,-0.029,0.883,1.520,2,-0.183,0.998,1.534,3,-0.041,1.258,1.511,4,-0.183,0.998,1.534,5,-0.321,0.917,1.432,6,-0.465,0.880,1.227,7,-0.512,0.856,1.157,8,0.119,1.018,1.544,9,0.352,1.018,1.544,10,0.531,1.037,1.530,10,0.531,1.037,1.530,12,-0.110,0.771,1.522,13,-0.382,0.939,1.456,14,-0.057,0.719,1.480,15,-0.122,0.665,1.537,16,0.046,0.786,1.514,17,0.249,1.023,1.572,18,0.615,1.026,1.535,19,0.647,1.031,1.445
8.164,0,-0.029,0.846,1.519,1,-0.029,0.883,1.520,2,-0.183,0.998,1.534,3,-0.041,1.258,1.511,4,-0.183,0.998,1.534,5,-0.321,0.917,1.432,6,-0.465,0.880,1.227,7,-0.512,0.856,1.157,8,0.119,1.018,1.544,9,0.352,1.018,1.544,10,0.531,1.037,1.530,10,0.531,1.037,1.530,12,-0.110,0.771,1.522,13,-0.382,0.939,1.456,14,-0.057,0.719,1.480,15,-0.122,0.665,1.537,16,0.046,0.786,1.514,17,0.249,1.023,1.572,18,0.615,1.026,1.535,19,0.647,1.031,1.445
8.173,0,-0.029,0.846,1.519,1,-0.029,0.883,1.520,2,-0.183,0.998,1.534,3,-0.041,1.258,1.511,4,-0.183,0.998,1.534,5,-0.321,0.917,1.432,6,-0.465,0.880,1.227,7,-0.512,0.856,1.157,8,0.119,1.018,1.544,9,0.352,1.018,1.544,10,0.531,1.037,1.530,10,0.531,1.037,1.530,12,-0.110,0.771,1.522,13,-0.382,0.939,1.456,14,-0.057,0.719,1.480,15,-0.122,0.665,1.537,16,0.046,0.786,1.514,17,0.249,1.023,1.572,18,0.615,1.026,1.535,19,0.647,1.031,1.445
8.181,0,-0.034,0.848,1.529,1,-0.034,0.885,1.532,2,-0.185,0.998,1.547,3,-0.045,1.256,1.528,4,-0.185,0.998,1.547,5,-0.321,0.914,1.446,6,-0.469,0.875,1.237,7,-0.530,0.846,1.155,8,0.113,1.018,1.555,9,0.347,1.018,1.555,10,0.527,1.036,1.528,10,0.527,1.036,1.528,12,-0.114,0.773,1.530,13,-0.386,0.946,1.472,14,-0.092,0.670,1.527,15,-0.159,0.637,1.570,16,0.042,0.790,1.520,17,0.233,1.030,1.576,18,0.594,1.016,1.530,19,0.624,1.023,1.439
8.189,0,-0.034,0.848,1.529,1,-0.034,0.885,1.532,2,-0.185,0.998,1.547,3,-0.045,1.256,1.528,4,-0.185,0.998,1.547,5,-0.321,0.914,1.446,6,-0.469,0.875,1.237,7,-0.530,0.846,1.155,8,0.113,1.018,1.555,9,0.347,1.018,1.555,10,0.527,1.036,1.528,10,0.527,1.036,1.528,12,-0.114,0.773,1.530,13,-0.386,0.946,1.472,14,-0.092,0.670,1.527,15,-0.159,0.637,1.570,16,0.042,0.790,1.520,17,0.233,1.030,1.576,18,0.594,1.016,1.530,19,0.624,1.023,1.439
8.196,0,-0.034,0.848,1.529,1,-0.034,0.885,1.532,2,-0.185,0.998,1.547,3,-0.045,1.256,1.528,4,-0.185,0.998,1.547,5,-0.321,0.914,1.446,6,-0.469,0.875,1.237,7,-0.530,0.846,1.155,8,0.113,1.018,1.555,9,0.347,1.018,1.555,10,0.527,1.036,1.528,10,0.527,1.036,1.528,12,-0.114,0.773,1.530,13,-0.386,0.946,1.472,14,-0.092,0.670,1.527,15,-0.159,0.637,1.570,16,0.042,0.790,1.520,17,0.233,1.030,1.576,18,0.594,1.016,1.530,19,0.624,1.023,1.439
8.204,0,-0.034,0.848,1.529,1,-0.034,0.885,1.532,2,-0.185,0.998,1.547,3,-0.045,1.256,1.528,4,-0.185,0.998,1.547,5,-0.321,0.914,1.446,6,-0.469,0.875,1.237,7,-0.530,0.846,1.155,8,0.113,1.018,1.555,9,0.347,1.018,1.555,10,0.527,1.036,1.528,10,0.527,1.036,1.528,12,-0.114,0.773,1.530,13,-0.386,0.946,1.472,14,-0.092,0.670,1.527,15,-0.159,0.637,1.570,16,0.042,0.790,1.520,17,0.233,1.030,1.576,18,0.594,1.016,1.530,19,0.624,1.023,1.439
8.212,0,-0.037,0.850,1.539,1,-0.036,0.887,1.546,2,-0.187,0.998,1.561,3,-0.047,1.254,1.543,4,-0.187,0.998,1.561,5,-0.321,0.914,1.458,6,-0.473,0.873,1.251,7,-0.545,0.848,1.167,8,0.109,1.018,1.568,9,0.342,1.018,1.568,10,0.522,1.035,1.526,10,0.522,1.035,1.526,12,-0.116,0.773,1.540,13,-0.377,0.961,1.492,14,-0.107,0.646,1.551,15,-0.181,0.622,1.600,16,0.038,0.793,1.528,17,0.197,1.053,1.589,18,0.566,1.023,1.532,19,0.597,1.030,1.444
8.219,0,-0.037,0.850,1.539,1,-0.036,0.887,1.546,2,-0.187,0.998,1.561,3,-0.047,1.254,1.543,4,-0.187,0.998,1.561,5,-0.321,0.914,1.458,6,-0.473,0.873,1.251,7,-0.545,0.848,1.167,8,0.109,1.018,1.568,9,0.342,1.018,1.568,10,0.522,1.035,1.526,10,0.522,1.035,1.526,12,-0.116,0.773,1.540,13,-0.377,0.961,1.492,14,-0.107,0.646,1.551,15,-0.181,0.622,1.600,16,0.038,0.793,1.528,17,0.197,1.053,1.589,18,0.566,1.023,1.532,19,0.597,1.030,1.444
8.227,0,-0.037,0.850,1.539,1,-0.036,0.887,1.546,2,-0.187,0.998,1.561,3,-0.047,1.254,1.543,4,-0.187,0.998,1.561,5,-0.321,0.914,1.458,6,-0.473,0.873,1.251,7,-0.545,0.848,1.167,8,0.109,1.018,1.568,9,0.342,1.018,1.568,10,0.522,1.035,1.526,10,0.522,1.035,1.526,12,-0.116,0.773,1.540,13,-0.377,0.961,1.492,14,-0.107,0.646,1.551,15,-0.181,0.622,1.600,16,0.038,0.793,1.528,17,0.197,1.053,1.589,18,0.566,1.023,1.532,19,0.597,1.030,1.444
8.234,0,-0.037,0.850,1.539,1,-0.036,0.887,1.546,2,-0.187,0.998,1.561,3,-0.047,1.254,1.543,4,-0.187,0.998,1.561,5,-0.321,0.914,1.458,6,-0.473,0.873,1.251,7,-0.545,0.848,1.167,8,0.109,1.018,1.568,9,0.342,1.018,1.568,10,0.522,1.035,1.526,10,0.522,1.035,1.526,12,-0.116,0.773,1.540,13,-0.377,0.961,1.492,14,-0.107,0.646,1.551,15,-0.181,0.622,1.600,16,0.038,0.793,1.528,17,0.197,1.053,1.589,18,0.566,1.023,1.532,19,0.597,1.030,1.444
8.244,0,-0.039,0.851,1.550,1,-0.038,0.887,1.559,2,-0.188,0.997,1.574,3,-0.049,1.253,1.556,4,-0.188,0.997,1.574,5,-0.338,0.917,1.460,6,-0.486,0.876,1.275,7,-0.553,0.851,1.176,8,0.107,1.017,1.579,9,0.337,1.017,1.579,10,0.517,1.034,1.524,10,0.517,1.034,1.524,12,-0.118,0.774,1.549,13,-0.398,0.943,1.450,14,-0.151,0.661,1.552,15,-0.134,0.641,1.509,16,0.035,0.795,1.536,17,0.183,1.061,1.596,18,0.551,1.027,1.534,19,0.582,1.034,1.447
8.255,0,-0.039,0.851,1.550,1,-0.038,0.887,1.559,2,-0.188,0.997,1.574,3,-0.049,1.253,1.556,4,-0.188,0.997,1.574,5,-0.338,0.917,1.460,6,-0.486,0.876,1.275,7,-0.553,0.851,1.176,8,0.107,1.017,1.579,9,0.337,1.017,1.579,10,0.517,1.034,1.524,10,0.517,1.034,1.524,12,-0.118,0.774,1.549,13,-0.398,0.943,1.450,14,-0.151,0.661,1.552,15,-0.134,0.641,1.509,16,0.035,0.795,1.536,17,0.183,1.061,1.596,18,0.551,1.027,1.534,19,0.582,1.034,1.447
8.265,0,-0.039,0.851,1.550,1,-0.038,0.887,1.559,2,-0.188,0.997,1.574,3,-0.049,1.253,1.556,4,-0.188,0.997,1.574,5,-0.338,0.917,1.460,6,-0.486,0.876,1.275,7,-0.553,0.851,1.176,8,0.107,1.017,1.579,9,0.337,1.017,1.579,10,0.517,1.034,1.524,10,0.517,1.034,1.524,12,-0.118,0.774,1.549,13,-0.398,0.943,1.450,14,-0.151,0.661,1.552,15,-0.134,0.641,1.509,16,0.035,0.795,1.536,17,0.183,1.061,1.596,18,0.551,1.027,1.534,19,0.582,1.034,1.447
8.275,0,-0.040,0.851,1.560,1,-0.040,0.887,1.571,2,-0.189,0.994,1.586,3,-0.050,1.250,1.568,4,-0.189,0.994,1.586,5,-0.340,0.922,1.483,6,-0.490,0.879,1.295,7,-0.566,0.857,1.187,8,0.106,1.015,1.589,9,0.333,1.015,1.589,10,0.513,1.033,1.524,10,0.513,1.033,1.524,12,-0.119,0.773,1.558,13,-0.407,0.934,1.435,14,-0.171,0.669,1.554,15,-0.127,0.641,1.495,16,0.033,0.796,1.545,17,0.174,1.065,1.602,18,0.541,1.028,1.535,19,0.571,1.036,1.450
8.282,0,-0.040,0.851,1.560,1,-0.040,0.887,1.571,2,-0.189,0.994,1.586,3,-0.050,1.250,1.568,4,-0.189,0.994,1.586,5,-0.340,0.922,1.483,6,-0.490,0.879,1.295,7,-0.566,0.857,1.187,8,0.106,1.015,1.589,9,0.333,1.015,1.589,10,0.513,1.033,1.524,10,0.513,1.033,1.524,12,-0.119,0.773,1.558,13,-0.407,0.934,1.435,14,-0.171,0.669,1.554,15,-0.127,0.641,1.495,16,0.033,0.796,1.545,17,0.174,1.065,1.602,18,0.541,1.028,1.535,19,0.571,1.036,1.450
8.289,0,-0.040,0.851,1.560,1,-0.040,0.887,1.571,2,-0.189,0.994,1.586,3,-0.050,1.250,1.568,4,-0.189,0.994,1.586,5,-0.340,0.922,1.483,6,-0.490,0.879,1.295,7,-0.566,0.857,1.187,8,0.106,1.015,1.589,9,0.333,1.015,1.589,10,0.513,1.033,1.524,10,0.513,1.033,1.524,12,-0.119,0.773,1.558,13,-0.407,0.934,1.435,14,-0.171,0.669,1.554,15,-0.127,0.641,1.495,16,0.033,0.796,1.545,17,0.174,1.065,1.602,18,0.541,1.028,1.535,19,0.571,1.036,1.450
8.296,0,-0.040,0.851,1.560,1,-0.040,0.887,1.571,2,-0.189,0.994,1.586,3,-0.050,1.250,1.568,4,-0.189,0.994,1.586,5,-0.340,0.922,1.483,6,-0.490,0.879,1.295,7,-0.566,0.857,1.187,8,0.106,1.015,1.589,9,0.333,1.015,1.589,10,0.513,1.033,1.524,10,0.513,1.033,1.524,12,-0.119,0.773,1.558,13,-0.407,0.934,1.435,14,-0.171,0.669,1.554,15,-0.127,0.641,1.495,16,0.033,0.796,1.545,17,0.174,1.065,1.602,18,0.541,1.028,1.535,19,0.571,1.036,1.450
8.303,0,-0.040,0.851,1.560,1,-0.040,0.887,1.571,2,-0.189,0.994,1.586,3,-0.050,1.250,1.568,4,-0.189,0.994,1.586,5,-0.340,0.922,1.483,6,-0.490,0.879,1.295,7,-0.566,0.857,1.187,8,0.106,1.015,1.589,9,0.333,1.015,1.589,10,0.513,1.033,1.524,10,0.513,1.033,1.524,12,-0.119,0.773,1.558,13,-0.407,0.934,1.435,14,-0.171,0.669,1.554,15,-0.127,0.641,1.495,16,0.033,0.796,1.545,17,0.174,1.065,1.602,18,0.541,1.028,1.535,19,0.571,1.036,1.450
8.314,0,-0.041,0.851,1.567,1,-0.040,0.886,1.581,2,-0.189,0.992,1.596,3,-0.050,1.248,1.578,4,-0.189,0.992,1.596,5,-0.341,0.924,1.496,6,-0.494,0.881,1.310,7,-0.578,0.864,1.200,8,0.106,1.013,1.598,9,0.331,1.013,1.598,10,0.510,1.032,1.525,10,0.510,1.032,1.525,12,-0.119,0.774,1.564,13,-0.411,0.930,1.430,14,-0.181,0.673,1.558,15,-0.118,0.644,1.483,16,0.031,0.796,1.553,17,0.249,1.011,1.610,18,0.544,1.025,1.534,19,0.573,1.035,1.451
8.321,0,-0.041,0.851,1.567,1,-0.040,0.886,1.581,2,-0.189,0.992,1.596,3,-0.050,1.248,1.578,4,-0.189,0.992,1.596,5,-0.341,0.924,1.496,6,-0.494,0.881,1.310,7,-0.578,0.864,1.200,8,0.106,1.013,1.598,9,0.331,1.013,1.598,10,0.510,1.032,1.525,10,0.510,1.032,1.525,12,-0.119,0.774,1.564,13,-0.411,0.930,1.430,14,-0.181,0.673,1.558,15,-0.118,0.644,1.483,16,0.031,0.796,1.553,17,0.249,1.011,1.610,18,0.544,1.025,1.534,19,0.573,1.035,1.451
8.333,0,-0.041,0.851,1.567,1,-0.040,0.886,1.581,2,-0.189,0.992,1.596,3,-0.050,1.248,1.578,4,-0.189,0.992,1.596,5,-0.341,0.924,1.496,6,-0.494,0.881,1.310,7,-0.578,0.864,1.200,8,0.106,1.013,1.598,9,0.331,1.013,1.598,10,0.510,1.032,1.525,10,0.510,1.032,1.525,12,-0.119,0.774,1.564,13,-0.411,0.930,1.430,14,-0.181,0.673,1.558,15,-0.118,0.644,1.483,16,0.031,0.796,1.553,17,0.249,1.011,1.610,18,0.544,1.025,1.534,19,0.573,1.035,1.451
8.342,0,-0.041,0.852,1.574,1,-0.040,0.886,1.589,2,-0.189,0.989,1.605,3,-0.049,1.245,1.586,4,-0.189,0.989,1.605,5,-0.340,0.926,1.508,6,-0.498,0.884,1.327,7,-0.567,0.876,1.247,8,0.106,1.011,1.605,9,0.329,1.011,1.605,10,0.508,1.031,1.526,10,0.508,1.031,1.526,12,-0.118,0.775,1.570,13,-0.415,0.926,1.433,14,-0.185,0.678,1.565,15,-0.111,0.647,1.483,16,0.030,0.795,1.560,17,0.272,0.994,1.614,18,0.548,1.023,1.533,19,0.577,1.035,1.451
8.350,0,-0.041,0.852,1.574,1,-0.040,0.886,1.589,2,-0.189,0.989,1.605,3,-0.049,1.245,1.586,4,-0.189,0.989,1.605,5,-0.340,0.926,1.508,6,-0.498,0.884,1.327,7,-0.567,0.876,1.247,8,0.106,1.011,1.605,9,0.329,1.011,1.605,10,0.508,1.031,1.526,10,0.508,1.031,1.526,12,-0.118,0.775,1.570,13,-0.415,0.926,1.433,14,-0.185,0.678,1.565,15,-0.111,0.647,1.483,16,0.030,0.795,1.560,17,0.272,0.994,1.614,18,0.548,1.023,1.533,19,0.577,1.035,1.451
8.358,0,-0.041,0.852,1.574,1,-0.040,0.886,1.589,2,-0.189,0.989,1.605,3,-0.049,1.245,1.586,4,-0.189,0.989,1.605,5,-0.340,0.926,1.508,6,-0.498,0.884,1.327,7,-0.567,0.876,1.247,8,0.106,1.011,1.605,9,0.329,1.011,1.605,10,0.508,1.031,1.526,10,0.508,1.031,1.526,12,-0.118,0.775,1.570,13,-0.415,0.926,1.433,14,-0.185,0.678,1.565,15,-0.111,0.647,1.483,16,0.030,0.795,1.560,17,0.272,0.994,1.614,18,0.548,1.023,1.533,19,0.577,1.035,1.451
8.365,0,-0.041,0.852,1.574,1,-0.040,0.886,1.589,2,-0.189,0.989,1.605,3,-0.049,1.245,1.586,4,-0.189,0.989,1.605,5,-0.340,0.926,1.508,6,-0.498,0.884,1.327,7,-0.567,0.876,1.247,8,0.106,1.011,1.605,9,0.329,1.011,1.605,10,0.508,1.031,1.526,10,0.508,1.031,1.526,12,-0.118,0.775,1.570,13,-0.415,0.926,1.433,14,-0.185,0.678,1.565,15,-0.111,0.647,1.483,16,0.030,0.795,1.560,17,0.272,0.994,1.614,18,0.548,1.023,1.533,19,0.577,1.035,1.451
8.376,0,-0.041,0.852,1.579,1,-0.039,0.886,1.596,2,-0.189,0.987,1.611,3,-0.048,1.243,1.593,4,-0.189,0.987,1.611,5,-0.340,0.927,1.513,6,-0.499,0.887,1.336,7,-0.561,0.880,1.275,8,0.107,1.009,1.611,9,0.329,1.009,1.611,10,0.506,1.030,1.527,10,0.506,1.030,1.527,12,-0.116,0.776,1.575,13,-0.418,0.921,1.449,14,-0.556,0.848,1.282,15,-0.566,0.852,1.192,16,0.030,0.795,1.566,17,0.289,0.982,1.616,18,0.550,1.023,1.534,19,0.578,1.035,1.453
8.384,0,-0.041,0.852,1.579,1,-0.039,0.886,1.596,2,-0.189,0.987,1.611,3,-0.048,1.243,1.593,4,-0.189,0.987,1.611,5,-0.340,0.927,1.513,6,-0.499,0.887,1.336,7,-0.561,0.880,1.275,8,0.107,1.009,1.611,9,0.329,1.009,1.611,10,0.506,1.030,1.527,10,0.506,1.030,1.527,12,-0.116,0.776,1.575,13,-0.418,0.921,1.449,14,-0.556,0.848,1.282,15,-0.566,0.852,1.192,16,0.030,0.795,1.566,17,0.289,0.982,1.616,18,0.550,1.023,1.534,19,0.578,1.035,1.453
8.394,0,-0.041,0.852,1.579,1,-0.039,0.886,1.596,2,-0.189,0.987,1.611,3,-0.048,1.243,1.593,4,-0.189,0.987,1.611,5,-0.340,0.927,1.513,6,-0.499,0.887,1.336,7,-0.561,0.880,1.275,8,0.107,1.009,1.611,9,0.329,1.009,1.611,10,0.506,1.030,1.527,10,0.506,1.030,1.527,12,-0.116,0.776,1.575,13,-0.418,0.921,1.449,14,-0.556,0.848,1.282,15,-0.566,0.852,1.192,16,0.030,0.795,1.566,17,0.289,0.982,1.616,18,0.550,1.023,1.534,19,0.578,1.035,1.453
8.402,0,-0.041,0.852,1.579,1,-0.039,0.886,1.596,2,-0.189,0.987,1.611,3,-0.048,1.243,1.593,4,-0.189,0.987,1.611,5,-0.340,0.927,1.513,6,-0.499,0.887,1.336,7,-0.561,0.880,1.275,8,0.107,1.009,1.611,9,0.329,1.009,1.611,10,0.506,1.030,1.527,10,0.506,1.030,1.527,12,-0.116,0.776,1.575,13,-0.418,0.921,1.449,14,-0.556,0.848,1.282,15,-0.566,0.852,1.192,16,0.030,0.795,1.566,17,0.289,0.982,1.616,18,0.550,1.023,1.534,19,0.578,1.035,1.453
8.411,0,-0.040,0.852,1.584,1,-0.038,0.886,1.601,2,-0.188,0.985,1.617,3,-0.047,1.242,1.597,4,-0.188,0.985,1.617,5,-0.339,0.924,1.530,6,-0.499,0.881,1.375,7,-0.574,0.874,1.284,8,0.109,1.008,1.616,9,0.304,1.008,1.616,10,0.484,1.028,1.537,10,0.484,1.028,1.537,12,-0.114,0.778,1.578,13,-0.421,0.918,1.469,14,-0.611,0.866,1.254,15,-0.645,0.863,1.197,16,0.030,0.794,1.571,17,0.298,0.976,1.617,18,0.551,1.022,1.535,19,0.580,1.036,1.456
8.419,0,-0.040,0.852,1.584,1,-0.038,0.886,1.601,2,-0.188,0.985,1.617,3,-0.047,1.242,1.597,4,-0.188,0.985,1.617,5,-0.339,0.924,1.530,6,-0.499,0.881,1.375,7,-0.574,0.874,1.284,8,0.109,1.008,1.616,9,0.304,1.008,1.616,10,0.484,1.028,1.537,10,0.484,1.028,1.537,12,-0.114,0.778,1.578,13,-0.421,0.918,1.469,14,-0.611,0.866,1.254,15,-0.645,0.863,1.197,16,0.030,0.794,1.571,17,0.298,0.976,1.617,18,0.551,1.022,1.535,19,0.580,1.036,1.456
8.428,0,-0.040,0.852,1.584,1,-0.038,0.886,1.601,2,-0.188,0.985,1.617,3,-0.047,1.242,1.597,4,-0.188,0.985,1.617,5,-0.339,0.924,1.530,6,-0.499,0.881,1.375,7,-0.574,0.874,1.284,8,0.109,1.008,1.616,9,0.304,1.008,1.616,10,0.484,1.028,1.537,10,0.484,1.028,1.537,12,-0.114,0.778,1.578,13,-0.421,0.918,1.469,14,-0.611,0.866,1.254,15,-0.645,0.863,1.197,16,0.030,0.794,1.571,17,0.298,0.976,1.617,18,0.551,1.022,1.535,19,0.580,1.036,1.456
8.438,0,-0.040,0.852,1.584,1,-0.038,0.886,1.601,2,-0.188,0.985,1.617,3,-0.047,1.242,1.597,4,-0.188,0.985,1.617,5,-0.339,0.924,1.530,6,-0.499,0.881,1.375,7,-0.574,0.874,1.284,8,0.109,1.008,1.616,9,0.304,1.008,1.616,10,0.484,1.028,1.537,10,0.484,1.028,1.537,12,-0.114,0.778,1.578,13,-0.421,0.918,1.469,14,-0.611,0.866,1.254,15,-0.645,0.863,1.197,16,0.030,0.794,1.571,17,0.298,0.976,1.617,18,0.551,1.022,1.535,19,0.580,1.036,1.456
8.446,0,-0.039,0.853,1.587,1,-0.037,0.886,1.606,2,-0.187,0.984,1.621,3,-0.046,1.240,1.601,4,-0.187,0.984,1.621,5,-0.338,0.923,1.534,6,-0.495,0.879,1.390,7,-0.597,0.854,1.280,8,0.110,1.007,1.620,9,0.310,1.007,1.620,10,0.484,1.028,1.539,10,0.484,1.028,1.539,12,-0.112,0.779,1.581,13,-0.423,0.915,1.484,14,-0.622,0.859,1.250,15,-0.691,0.848,1.253,16,0.031,0.793,1.575,17,0.304,0.972,1.618,18,0.553,1.022,1.537,19,0.582,1.037,1.458
8.455,0,-0.039,0.853,1.587,1,-0.037,0.886,1.606,2,-0.187,0.984,1.621,3,-0.046,1.240,1.601,4,-0.187,0.984,1.621,5,-0.338,0.923,1.534,6,-0.495,0.879,1.390,7,-0.597,0.854,1.280,8,0.110,1.007,1.620,9,0.310,1.007,1.620,10,0.484,1.028,1.539,10,0.484,1.028,1.539,12,-0.112,0.779,1.581,13,-0.423,0.915,1.484,14,-0.622,0.859,1.250,15,-0.691,0.848,1.253,16,0.031,0.793,1.575,17,0.304,0.972,1.618,18,0.553,1.022,1.537,19,0.582,1.037,1.458
8.463,0,-0.039,0.853,1.587,1,-0.037,0.886,1.606,2,-0.187,0.984,1.621,3,-0.046,1.240,1.601,4,-0.187,0.984,1.621,5,-0.338,0.923,1.534,6,-0.495,0.879,1.390,7,-0.597,0.854,1.280,8,0.110,1.007,1.620,9,0.310,1.007,1.620,10,0.484,1.028,1.539,10,0.484,1.028,1.539,12,-0.112,0.779,1.581,13,-0.423,0.915,1.484,14,-0.622,0.859,1.250,15,-0.691,0.848,1.253,16,0.031,0.793,1.575,17,0.304,0.972,1.618,18,0.553,1.022,1.537,19,0.582,1.037,1.458
8.472,0,-0.039,0.853,1.587,1,-0.037,0.886,1.606,2,-0.187,0.984,1.621,3,-0.046,1.240,1.601,4,-0.187,0.984,1.621,5,-0.338,0.923,1.534,6,-0.495,0.879,1.390,7,-0.597,0.854,1.280,8,0.110,1.007,1.620,9,0.310,1.007,1.620,10,0.484,1.028,1.539,10,0.484,1.028,1.539,12,-0.112,0.779,1.581,13,-0.423,0.915,1.484,14,-0.622,0.859,1.250,15,-0.691,0.848,1.253,16,0.031,0.793,1.575,17,0.304,0.972,1.618,18,0.553,1.022,1.537,19,0.582,1.037,1.458
8.480,0,-0.037,0.853,1.590,1,-0.035,0.885,1.610,2,-0.186,0.982,1.624,3,-0.045,1.240,1.603,4,-0.186,0.982,1.624,5,-0.338,0.923,1.537,6,-0.493,0.878,1.399,7,-0.574,0.851,1.322,8,0.111,1.006,1.622,9,0.332,1.006,1.622,10,0.500,1.033,1.541,10,0.500,1.033,1.541,12,-0.110,0.780,1.584,13,-0.425,0.912,1.496,14,-0.624,0.848,1.259,15,-0.699,0.851,1.252,16,0.033,0.792,1.579,17,0.306,0.971,1.619,18,0.555,1.023,1.540,19,0.584,1.038,1.461
8.492,0,-0.037,0.853,1.590,1,-0.035,0.885,1.610,2,-0.186,0.982,1.624,3,-0.045,1.240,1.603,4,-0.186,0.982,1.624,5,-0.338,0.923,1.537,6,-0.493,0.878,1.399,7,-0.574,0.851,1.322,8,0.111,1.006,1.622,9,0.332,1.006,1.622,10,0.500,1.033,1.541,10,0.500,1.033,1.541,12,-0.110,0.780,1.584,13,-0.425,0.912,1.496,14,-0.624,0.848,1.259,15,-0.699,0.851,1.252,16,0.033,0.792,1.579,17,0.306,0.971,1.619,18,0.555,1.023,1.540,19,0.584,1.038,1.461
8.501,0,-0.037,0.853,1.590,1,-0.035,0.885,1.610,2,-0.186,0.982,1.624,3,-0.045,1.240,1.603,4,-0.186,0.982,1.624,5,-0.338,0.923,1.537,6,-0.493,0.878,1.399,7,-0.574,0.851,1.322,8,0.111,1.006,1.622,9,0.332,1.006,1.622,10,0.500,1.033,1.541,10,0.500,1.033,1.541,12,-0.110,0.780,1.584,13,-0.425,0.912,1.496,14,-0.624,0.848,1.259,15,-0.699,0.851,1.252,16,0.033,0.792,1.579,17,0.306,0.971,1.619,18,0.555,1.023,1.540,19,0.584,1.038,1.461
8.511,0,-0.035,0.853,1.592,1,-0.033,0.885,1.612,2,-0.186,0.982,1.626,3,-0.044,1.239,1.604,4,-0.186,0.982,1.626,5,-0.338,0.920,1.537,6,-0.502,0.862,1.393,7,-0.590,0.817,1.309,8,0.112,1.005,1.624,9,0.339,1.005,1.624,10,0.504,1.034,1.542,10,0.504,1.034,1.542,12,-0.107,0.782,1.585,13,-0.427,0.908,1.505,14,-0.626,0.838,1.273,15,-0.648,0.840,1.206,16,0.036,0.791,1.582,17,0.304,0.972,1.619,18,0.558,1.023,1.542,19,0.587,1.038,1.464
