time,HipCenter,HipCenterCoordinates.x,HipCenterCoordinates.y,HipCenterCoordinates.z,Spine,SpineCoordinates.x,SpineCoordinates.y,SpineCoordinates.z,ShoulderCenter,ShoulderLeftCoordinates.x,ShoulderLeftCoordinates.y,ShoulderLeftCoordinates.zHead,HeadCoordinates.x,HeadCoordinates.y,HeadCoordinates.z,ShoulderLeft,ShoulderLeftCoordinates.x,ShoulderLeftCoordinates.y,ShoulderLeftCoordinates.z,ElbowLeft,ElbowLeftCoordinates.x,ElbowLeftCoordinates.y,ElbowLeftCoordinates.z,WristLeft,WristLeftCoordinates.x,WristLeftCoordinates.y,WristLeftCoordinates.z,HandLeft,HandLeftCoordinates.x,HandLeftCoordinates.y,HandLeftCoordinates.z,ShoulderRight,ShoulderRightCoordinates.x,ShoulderRightCoordinates.y,ShoulderRightCoordinates.z,ElbowRight,ElbowRightCoordinates.x,ShoulderRightCoordinates.y,ShoulderRightCoordinates.z,WristRight,WristRightCoordinates.x,WristRightCoordinates.y,WristRightCoordinates.z,HandRight,WristRightCoordinates.x,WristRightCoordinates.y,WristRightCoordinates.z,HipLeft,HipLeftCoordinates.x,HipLeftCoordinates.y,HipLeftCoordinates.z,KneeLeft,KneeLeftCoordinates.x,KneeLeftCoordinates.y,KneeLeftCoordinates.z,AnkleLeft,AnkleLeftCoordinates.x,AnkleLeftCoordinates.y,AnkleLeftCoordinates.z,FootLeft,FootLeftCoordinates.x,FootLeftCoordinates.y,FootLeftCoordinates.z,HipRight,HipRightCoordinates.x,HipRightCoordinates.y,HipRightCoordinates.z,KneeRight,KneeRightCoordinates.x,KneeRightCoordinates.y,KneeRightCoordinates.z,AnkleRight,AnkleRightCoordinates.x,AnkleRightCoordinates.y,AnkleRightCoordinates.z,FootRight,FootRightCoordinates.x,FootRightCoordinates.y,FootRightCoordinates.z
7.895,0,0.019,0.853,1.419,1,0.019,0.895,1.414,2,-0.132,1.022,1.388,3,0.040,1.292,1.389,4,-0.132,1.022,1.388,5,-0.321,1.002,1.321,6,-0.473,0.962,1.206,7,-0.534,0.942,1.147,8,0.188,1.033,1.449,9,0.418,1.033,1.449,10,0.612,1.003,1.543,10,0.612,1.003,1.543,12,-0.055,0.779,1.414,13,-0.217,1.125,1.442,14,-0.190,0.770,1.494,15,-0.185,0.708,1.422,16,0.090,0.783,1.432,17,-0.197,1.100,1.431,18,0.178,1.036,1.458,19,0.220,1.045,1.406
7.905,0,0.011,0.851,1.436,1,0.011,0.893,1.430,2,-0.141,1.015,1.403,3,0.026,1.289,1.405,4,-0.141,1.015,1.403,5,-0.320,0.994,1.324,6,-0.463,0.944,1.206,7,-0.522,0.926,1.145,8,0.181,1.032,1.460,9,0.400,1.032,1.460,10,0.593,1.017,1.541,10,0.593,1.017,1.541,12,-0.063,0.775,1.432,13,-0.183,1.111,1.464,14,-0.181,0.758,1.518,15,-0.185,0.691,1.434,16,0.082,0.783,1.447,17,0.246,1.044,1.556,18,0.178,1.036,1.458,19,0.698,1.036,1.546
7.916,0,0.011,0.851,1.436,1,0.011,0.893,1.430,2,-0.141,1.015,1.403,3,0.026,1.289,1.405,4,-0.141,1.015,1.403,5,-0.320,0.994,1.324,6,-0.463,0.944,1.206,7,-0.522,0.926,1.145,8,0.181,1.032,1.460,9,0.400,1.032,1.460,10,0.593,1.017,1.541,10,0.593,1.017,1.541,12,-0.063,0.775,1.432,13,-0.183,1.111,1.464,14,-0.181,0.758,1.518,15,-0.185,0.691,1.434,16,0.082,0.783,1.447,17,0.246,1.044,1.556,18,0.178,1.036,1.458,19,0.698,1.036,1.546
7.928,0,0.011,0.851,1.436,1,0.011,0.893,1.430,2,-0.141,1.015,1.403,3,0.026,1.289,1.405,4,-0.141,1.015,1.403,5,-0.320,0.994,1.324,6,-0.463,0.944,1.206,7,-0.522,0.926,1.145,8,0.181,1.032,1.460,9,0.400,1.032,1.460,10,0.593,1.017,1.541,10,0.593,1.017,1.541,12,-0.063,0.775,1.432,13,-0.183,1.111,1.464,14,-0.181,0.758,1.518,15,-0.185,0.691,1.434,16,0.082,0.783,1.447,17,0.246,1.044,1.556,18,0.178,1.036,1.458,19,0.698,1.036,1.546
7.943,0,0.005,0.850,1.448,1,0.005,0.890,1.444,2,-0.149,1.007,1.420,3,0.013,1.284,1.421,4,-0.149,1.007,1.420,5,-0.319,0.985,1.329,6,-0.455,0.933,1.207,7,-0.513,0.914,1.144,8,0.173,1.030,1.473,9,0.387,1.030,1.473,10,0.571,1.027,1.539,10,0.571,1.027,1.539,12,-0.068,0.773,1.444,13,-0.150,1.117,1.491,14,-0.143,0.747,1.498,15,-0.160,0.662,1.487,16,0.077,0.782,1.459,17,0.294,1.030,1.571,18,0.178,1.036,1.458,19,0.130,0.839,1.531
7.954,0,0.005,0.850,1.448,1,0.005,0.890,1.444,2,-0.149,1.007,1.420,3,0.013,1.284,1.421,4,-0.149,1.007,1.420,5,-0.319,0.985,1.329,6,-0.455,0.933,1.207,7,-0.513,0.914,1.144,8,0.173,1.030,1.473,9,0.387,1.030,1.473,10,0.571,1.027,1.539,10,0.571,1.027,1.539,12,-0.068,0.773,1.444,13,-0.150,1.117,1.491,14,-0.143,0.747,1.498,15,-0.160,0.662,1.487,16,0.077,0.782,1.459,17,0.294,1.030,1.571,18,0.178,1.036,1.458,19,0.130,0.839,1.531
7.965,0,0.005,0.850,1.448,1,0.005,0.890,1.444,2,-0.149,1.007,1.420,3,0.013,1.284,1.421,4,-0.149,1.007,1.420,5,-0.319,0.985,1.329,6,-0.455,0.933,1.207,7,-0.513,0.914,1.144,8,0.173,1.030,1.473,9,0.387,1.030,1.473,10,0.571,1.027,1.539,10,0.571,1.027,1.539,12,-0.068,0.773,1.444,13,-0.150,1.117,1.491,14,-0.143,0.747,1.498,15,-0.160,0.662,1.487,16,0.077,0.782,1.459,17,0.294,1.030,1.571,18,0.178,1.036,1.458,19,0.130,0.839,1.531
7.978,0,0.000,0.847,1.461,1,0.000,0.887,1.457,2,-0.157,0.999,1.438,3,0.000,1.278,1.435,4,-0.157,0.999,1.438,5,-0.320,0.973,1.335,6,-0.451,0.925,1.207,7,-0.507,0.904,1.143,8,0.164,1.026,1.485,9,0.380,1.026,1.485,10,0.560,1.031,1.538,10,0.560,1.031,1.538,12,-0.072,0.770,1.456,13,-0.151,1.108,1.502,14,-0.126,0.742,1.488,15,-0.145,0.647,1.517,16,0.072,0.781,1.471,17,0.303,1.020,1.567,18,0.589,1.046,1.557,19,0.638,1.047,1.494
7.988,0,0.000,0.847,1.461,1,0.000,0.887,1.457,2,-0.157,0.999,1.438,3,0.000,1.278,1.435,4,-0.157,0.999,1.438,5,-0.320,0.973,1.335,6,-0.451,0.925,1.207,7,-0.507,0.904,1.143,8,0.164,1.026,1.485,9,0.380,1.026,1.485,10,0.560,1.031,1.538,10,0.560,1.031,1.538,12,-0.072,0.770,1.456,13,-0.151,1.108,1.502,14,-0.126,0.742,1.488,15,-0.145,0.647,1.517,16,0.072,0.781,1.471,17,0.303,1.020,1.567,18,0.589,1.046,1.557,19,0.638,1.047,1.494
8.000,0,0.000,0.847,1.461,1,0.000,0.887,1.457,2,-0.157,0.999,1.438,3,0.000,1.278,1.435,4,-0.157,0.999,1.438,5,-0.320,0.973,1.335,6,-0.451,0.925,1.207,7,-0.507,0.904,1.143,8,0.164,1.026,1.485,9,0.380,1.026,1.485,10,0.560,1.031,1.538,10,0.560,1.031,1.538,12,-0.072,0.770,1.456,13,-0.151,1.108,1.502,14,-0.126,0.742,1.488,15,-0.145,0.647,1.517,16,0.072,0.781,1.471,17,0.303,1.020,1.567,18,0.589,1.046,1.557,19,0.638,1.047,1.494
