Frame1;16.855;0;0;0;0;1;0;0;0;2;0;0;0;3;0;0;0;4;0;0;0;5;0;0;0;6;0;0;0;7;0;0;0;8;0;0;0;9;0;0;0;10;0;0;0;10;0;0;0;12;0;0;0;13;0;0;0;14;0;0;0;15;0;0;0;16;0;0;0;17;0;0;0;18;0;0;0;19;0;0;0
Frame2;16.881;0;0;0;0;1;0;0;0;2;0;0;0;3;0;0;0;4;0;0;0;5;0;0;0;6;0;0;0;7;0;0;0;8;0;0;0;9;0;0;0;10;0;0;0;10;0;0;0;12;0;0;0;13;0;0;0;14;0;0;0;15;0;0;0;16;0;0;0;17;0;0;0;18;0;0;0;19;0;0;0
Frame3;16.888;0;0;0;0;1;0;0;0;2;0;0;0;3;0;0;0;4;0;0;0;5;0;0;0;6;0;0;0;7;0;0;0;8;0;0;0;9;0;0;0;10;0;0;0;10;0;0;0;12;0;0;0;13;0;0;0;14;0;0;0;15;0;0;0;16;0;0;0;17;0;0;0;18;0;0;0;19;0;0;0
Frame4;16.895;0;-0.148;0.777;1.406;1;-0.149;0.809;1.43;2;-0.167;0.993;1.448;3;-0.196;1.176;1.455;4;-0.306;0.891;1.472;5;-0.094;0.903;1.481;6;-0.295;0.854;1.418;7;-0.326;0.874;1.376;8;-0.036;0.919;1.429;9;0.161;0.93;1.498;10;0.356;0.944;1.534;10;0.356;0.944;1.534;12;-0.204;0.709;1.386;13;-0.4;0.783;1.569;14;-0.643;0.723;1.409;15;-0.55;0.741;1.42;16;-0.08;0.722;1.392;17;-0.406;0.765;1.537;18;-0.097;0.837;1.47;19;-0.074;0.86;1.409
Frame5;16.905;0;-0.148;0.777;1.406;1;-0.149;0.809;1.43;2;-0.167;0.993;1.448;3;-0.196;1.176;1.455;4;-0.306;0.891;1.472;5;-0.094;0.903;1.481;6;-0.295;0.854;1.418;7;-0.326;0.874;1.376;8;-0.036;0.919;1.429;9;0.161;0.93;1.498;10;0.356;0.944;1.534;10;0.356;0.944;1.534;12;-0.204;0.709;1.386;13;-0.4;0.783;1.569;14;-0.643;0.723;1.409;15;-0.55;0.741;1.42;16;-0.08;0.722;1.392;17;-0.406;0.765;1.537;18;-0.097;0.837;1.47;19;-0.074;0.86;1.409
Frame6;16.912;0;-0.148;0.777;1.406;1;-0.149;0.809;1.43;2;-0.167;0.993;1.448;3;-0.196;1.176;1.455;4;-0.306;0.891;1.472;5;-0.094;0.903;1.481;6;-0.295;0.854;1.418;7;-0.326;0.874;1.376;8;-0.036;0.919;1.429;9;0.161;0.93;1.498;10;0.356;0.944;1.534;10;0.356;0.944;1.534;12;-0.204;0.709;1.386;13;-0.4;0.783;1.569;14;-0.643;0.723;1.409;15;-0.55;0.741;1.42;16;-0.08;0.722;1.392;17;-0.406;0.765;1.537;18;-0.097;0.837;1.47;19;-0.074;0.86;1.409
Frame7;16.919;0;-0.148;0.777;1.406;1;-0.149;0.809;1.43;2;-0.167;0.993;1.448;3;-0.196;1.176;1.455;4;-0.306;0.891;1.472;5;-0.094;0.903;1.481;6;-0.295;0.854;1.418;7;-0.326;0.874;1.376;8;-0.036;0.919;1.429;9;0.161;0.93;1.498;10;0.356;0.944;1.534;10;0.356;0.944;1.534;12;-0.204;0.709;1.386;13;-0.4;0.783;1.569;14;-0.643;0.723;1.409;15;-0.55;0.741;1.42;16;-0.08;0.722;1.392;17;-0.406;0.765;1.537;18;-0.097;0.837;1.47;19;-0.074;0.86;1.409
Frame8;16.926;0;-0.128;0.761;1.368;1;-0.128;0.793;1.406;2;-0.162;0.995;1.443;3;-0.192;1.176;1.452;4;-0.297;0.887;1.46;5;-0.085;0.903;1.471;6;-0.291;0.854;1.414;7;-0.322;0.874;1.372;8;-0.032;0.921;1.423;9;0.178;0.934;1.476;10;0.353;0.942;1.499;10;0.353;0.942;1.499;12;-0.181;0.696;1.349;13;-0.384;0.784;1.552;14;-0.272;0.835;1.344;15;-0.179;0.85;1.361;16;-0.061;0.712;1.349;17;-0.401;0.767;1.534;18;-0.07;0.843;1.498;19;-0.052;0.87;1.419
Frame9;16.933;0;-0.128;0.761;1.368;1;-0.128;0.793;1.406;2;-0.162;0.995;1.443;3;-0.192;1.176;1.452;4;-0.297;0.887;1.46;5;-0.085;0.903;1.471;6;-0.291;0.854;1.414;7;-0.322;0.874;1.372;8;-0.032;0.921;1.423;9;0.178;0.934;1.476;10;0.353;0.942;1.499;10;0.353;0.942;1.499;12;-0.181;0.696;1.349;13;-0.384;0.784;1.552;14;-0.272;0.835;1.344;15;-0.179;0.85;1.361;16;-0.061;0.712;1.349;17;-0.401;0.767;1.534;18;-0.07;0.843;1.498;19;-0.052;0.87;1.419
Frame10;16.94;0;-0.128;0.761;1.368;1;-0.128;0.793;1.406;2;-0.162;0.995;1.443;3;-0.192;1.176;1.452;4;-0.297;0.887;1.46;5;-0.085;0.903;1.471;6;-0.291;0.854;1.414;7;-0.322;0.874;1.372;8;-0.032;0.921;1.423;9;0.178;0.934;1.476;10;0.353;0.942;1.499;10;0.353;0.942;1.499;12;-0.181;0.696;1.349;13;-0.384;0.784;1.552;14;-0.272;0.835;1.344;15;-0.179;0.85;1.361;16;-0.061;0.712;1.349;17;-0.401;0.767;1.534;18;-0.07;0.843;1.498;19;-0.052;0.87;1.419
