time;HipCenter;HipCenterCoordinates.x;HipCenterCoordinates.y;HipCenterCoordinates.z;Spine;SpineCoordinates.x;SpineCoordinates.y;SpineCoordinates.z;ShoulderCenter;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.zHead;HeadCoordinates.x;HeadCoordinates.y;HeadCoordinates.z;ShoulderLeft;ShoulderLeftCoordinates.x;ShoulderLeftCoordinates.y;ShoulderLeftCoordinates.z;ElbowLeft;ElbowLeftCoordinates.x;ElbowLeftCoordinates.y;ElbowLeftCoordinates.z;WristLeft;WristLeftCoordinates.x;WristLeftCoordinates.y;WristLeftCoordinates.z;HandLeft;HandLeftCoordinates.x;HandLeftCoordinates.y;HandLeftCoordinates.z;ShoulderRight;ShoulderRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;ElbowRight;ElbowRightCoordinates.x;ShoulderRightCoordinates.y;ShoulderRightCoordinates.z;WristRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HandRight;WristRightCoordinates.x;WristRightCoordinates.y;WristRightCoordinates.z;HipLeft;HipLeftCoordinates.x;HipLeftCoordinates.y;HipLeftCoordinates.z;KneeLeft;KneeLeftCoordinates.x;KneeLeftCoordinates.y;KneeLeftCoordinates.z;AnkleLeft;AnkleLeftCoordinates.x;AnkleLeftCoordinates.y;AnkleLeftCoordinates.z;FootLeft;FootLeftCoordinates.x;FootLeftCoordinates.y;FootLeftCoordinates.z;HipRight;HipRightCoordinates.x;HipRightCoordinates.y;HipRightCoordinates.z;KneeRight;KneeRightCoordinates.x;KneeRightCoordinates.y;KneeRightCoordinates.z;AnkleRight;AnkleRightCoordinates.x;AnkleRightCoordinates.y;AnkleRightCoordinates.z;FootRight;FootRightCoordinates.x;FootRightCoordinates.y;FootRightCoordinates.z)
16.165;0;-0.079;0.900;1.274;1;-0.069;0.946;1.293;2;-0.201;1.084;1.347;3;-0.098;1.369;1.281;4;-0.201;1.084;1.347;5;-0.272;1.006;1.522;6;-0.068;1.012;1.380;7;-0.015;0.975;1.356;8;0.057;1.082;1.231;9;0.216;1.082;1.231;10;0.367;0.846;1.154;10;0.367;0.846;1.154;12;-0.138;0.838;1.292;13;-0.441;0.845;1.477;14;-0.250;0.736;1.290;15;-0.301;0.722;1.240;16;-0.022;0.836;1.246;17;-0.268;0.720;1.369;18;0.000;0.000;0.000;19;-0.094;0.790;1.268
16.174;0;-0.079;0.900;1.274;1;-0.069;0.946;1.293;2;-0.201;1.084;1.347;3;-0.098;1.369;1.281;4;-0.201;1.084;1.347;5;-0.272;1.006;1.522;6;-0.068;1.012;1.380;7;-0.015;0.975;1.356;8;0.057;1.082;1.231;9;0.216;1.082;1.231;10;0.367;0.846;1.154;10;0.367;0.846;1.154;12;-0.138;0.838;1.292;13;-0.441;0.845;1.477;14;-0.250;0.736;1.290;15;-0.301;0.722;1.240;16;-0.022;0.836;1.246;17;-0.268;0.720;1.369;18;0.000;0.000;0.000;19;-0.094;0.790;1.268
16.182;0;-0.079;0.900;1.274;1;-0.069;0.946;1.293;2;-0.201;1.084;1.347;3;-0.098;1.369;1.281;4;-0.201;1.084;1.347;5;-0.272;1.006;1.522;6;-0.068;1.012;1.380;7;-0.015;0.975;1.356;8;0.057;1.082;1.231;9;0.216;1.082;1.231;10;0.367;0.846;1.154;10;0.367;0.846;1.154;12;-0.138;0.838;1.292;13;-0.441;0.845;1.477;14;-0.250;0.736;1.290;15;-0.301;0.722;1.240;16;-0.022;0.836;1.246;17;-0.268;0.720;1.369;18;0.000;0.000;0.000;19;-0.094;0.790;1.268
16.191;0;-0.079;0.900;1.274;1;-0.069;0.946;1.293;2;-0.201;1.084;1.347;3;-0.098;1.369;1.281;4;-0.201;1.084;1.347;5;-0.272;1.006;1.522;6;-0.068;1.012;1.380;7;-0.015;0.975;1.356;8;0.057;1.082;1.231;9;0.216;1.082;1.231;10;0.367;0.846;1.154;10;0.367;0.846;1.154;12;-0.138;0.838;1.292;13;-0.441;0.845;1.477;14;-0.250;0.736;1.290;15;-0.301;0.722;1.240;16;-0.022;0.836;1.246;17;-0.268;0.720;1.369;18;0.000;0.000;0.000;19;-0.094;0.790;1.268
16.200;0;-0.074;0.899;1.276;1;-0.063;0.946;1.297;2;-0.197;1.083;1.361;3;-0.096;1.371;1.292;4;-0.197;1.083;1.361;5;-0.269;1.011;1.531;6;-0.033;1.015;1.381;7;0.030;0.993;1.350;8;0.058;1.083;1.233;9;0.237;1.083;1.233;10;0.322;0.850;1.164;10;0.322;0.850;1.164;12;-0.132;0.836;1.294;13;-0.354;0.737;1.443;14;-0.435;0.668;1.237;15;-0.350;0.703;1.237;16;-0.019;0.836;1.247;17;-0.267;0.720;1.369;18;0.048;0.834;1.262;19;-0.043;0.798;1.274
16.210;0;-0.074;0.899;1.276;1;-0.063;0.946;1.297;2;-0.197;1.083;1.361;3;-0.096;1.371;1.292;4;-0.197;1.083;1.361;5;-0.269;1.011;1.531;6;-0.033;1.015;1.381;7;0.030;0.993;1.350;8;0.058;1.083;1.233;9;0.237;1.083;1.233;10;0.322;0.850;1.164;10;0.322;0.850;1.164;12;-0.132;0.836;1.294;13;-0.354;0.737;1.443;14;-0.435;0.668;1.237;15;-0.350;0.703;1.237;16;-0.019;0.836;1.247;17;-0.267;0.720;1.369;18;0.048;0.834;1.262;19;-0.043;0.798;1.274
16.226;0;-0.074;0.899;1.276;1;-0.063;0.946;1.297;2;-0.197;1.083;1.361;3;-0.096;1.371;1.292;4;-0.197;1.083;1.361;5;-0.269;1.011;1.531;6;-0.033;1.015;1.381;7;0.030;0.993;1.350;8;0.058;1.083;1.233;9;0.237;1.083;1.233;10;0.322;0.850;1.164;10;0.322;0.850;1.164;12;-0.132;0.836;1.294;13;-0.354;0.737;1.443;14;-0.435;0.668;1.237;15;-0.350;0.703;1.237;16;-0.019;0.836;1.247;17;-0.267;0.720;1.369;18;0.048;0.834;1.262;19;-0.043;0.798;1.274
16.235;0;-0.070;0.898;1.278;1;-0.057;0.945;1.301;2;-0.194;1.081;1.368;3;-0.093;1.373;1.304;4;-0.194;1.081;1.368;5;-0.267;1.013;1.537;6;-0.031;1.023;1.384;7;0.026;0.979;1.362;8;0.060;1.085;1.237;9;0.247;1.085;1.237;10;0.323;0.856;1.161;10;0.323;0.856;1.161;12;-0.127;0.835;1.296;13;-0.331;0.703;1.437;14;-0.444;0.697;1.196;15;-0.450;0.695;1.176;16;-0.014;0.836;1.249;17;-0.265;0.722;1.374;18;0.083;0.843;1.272;19;-0.011;0.810;1.265
16.243;0;-0.070;0.898;1.278;1;-0.057;0.945;1.301;2;-0.194;1.081;1.368;3;-0.093;1.373;1.304;4;-0.194;1.081;1.368;5;-0.267;1.013;1.537;6;-0.031;1.023;1.384;7;0.026;0.979;1.362;8;0.060;1.085;1.237;9;0.247;1.085;1.237;10;0.323;0.856;1.161;10;0.323;0.856;1.161;12;-0.127;0.835;1.296;13;-0.331;0.703;1.437;14;-0.444;0.697;1.196;15;-0.450;0.695;1.176;16;-0.014;0.836;1.249;17;-0.265;0.722;1.374;18;0.083;0.843;1.272;19;-0.011;0.810;1.265
16.252;0;-0.070;0.898;1.278;1;-0.057;0.945;1.301;2;-0.194;1.081;1.368;3;-0.093;1.373;1.304;4;-0.194;1.081;1.368;5;-0.267;1.013;1.537;6;-0.031;1.023;1.384;7;0.026;0.979;1.362;8;0.060;1.085;1.237;9;0.247;1.085;1.237;10;0.323;0.856;1.161;10;0.323;0.856;1.161;12;-0.127;0.835;1.296;13;-0.331;0.703;1.437;14;-0.444;0.697;1.196;15;-0.450;0.695;1.176;16;-0.014;0.836;1.249;17;-0.265;0.722;1.374;18;0.083;0.843;1.272;19;-0.011;0.810;1.265
