time;joint;pos_x;pos_y;poz_z
8.322;11;0.176;1.011;0.795
8.330;11;0.176;1.011;0.795
8.337;11;0.176;1.011;0.795
8.344;11;0.176;1.011;0.795
8.351;11;0.176;1.011;0.795
8.360;11;0.176;1.011;0.795
8.367;11;0.176;1.011;0.795
8.374;11;0.176;1.011;0.795
8.382;11;0.176;1.011;0.795
8.391;11;0.176;1.011;0.795
8.398;11;0.176;1.011;0.795
8.405;11;0.176;1.011;0.795
8.412;11;0.176;1.011;0.795
8.420;11;0.176;1.011;0.795
8.428;11;0.176;1.011;0.795
8.436;11;0.176;1.011;0.795
8.443;11;0.176;1.011;0.795
8.451;11;0.176;1.011;0.795
8.459;11;0.176;1.011;0.795
8.466;11;0.176;1.011;0.795
8.474;11;0.176;1.011;0.795
8.482;11;0.176;1.011;0.795
8.493;11;0.176;1.011;0.795
8.501;11;0.176;1.011;0.795
8.508;11;0.176;1.011;0.795
8.519;11;0.176;1.011;0.795
8.527;11;0.176;1.011;0.795
8.535;11;0.176;1.011;0.795
8.543;11;0.176;1.011;0.795
8.550;11;0.176;1.011;0.795
8.558;11;0.176;1.011;0.795
8.568;11;0.176;1.011;0.795
8.576;11;0.176;1.011;0.795
8.583;11;0.176;1.011;0.795
8.593;11;0.176;1.011;0.795
8.601;11;0.176;1.011;0.795
8.608;11;0.176;1.011;0.795
8.618;11;0.176;1.011;0.795
8.627;11;0.176;1.011;0.795
8.635;11;0.176;1.011;0.795
8.643;11;0.176;1.011;0.795
8.652;11;0.176;1.011;0.795
8.668;11;0.176;1.011;0.795
8.677;11;0.176;1.011;0.795
8.684;11;0.176;1.011;0.795
8.694;11;0.176;1.011;0.795
8.703;11;0.176;1.011;0.795
8.719;11;0.176;1.011;0.795
8.727;11;0.176;1.011;0.795
8.734;11;0.176;1.011;0.795
8.747;11;0.176;1.011;0.795
8.755;11;0.176;1.011;0.795
8.763;11;0.176;1.011;0.795
8.771;11;0.176;1.011;0.795
8.778;11;0.176;1.011;0.795
8.786;11;0.176;1.011;0.795
8.794;11;0.176;1.011;0.795
8.802;11;0.176;1.011;0.795
8.810;11;0.176;1.011;0.795
8.817;11;0.176;1.011;0.795
8.825;11;0.176;1.011;0.795
8.833;11;0.176;1.011;0.795
8.841;11;0.176;1.011;0.795
8.848;11;0.176;1.011;0.795
8.857;11;0.176;1.011;0.795
8.864;11;0.176;1.011;0.795
8.872;11;0.176;1.011;0.795
8.881;11;0.176;1.011;0.795
